,Image,building,car,crop,door,field,ground,mountain,road,rocky,sand,sea,sidewalk,sign,sky,skyscraper,snowy,tree,trunk,water,window
1352,mountain_n199004.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
1738,opencountry_land565.jpg,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1497,mountain_nat42.jpg,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
1683,opencountry_land276.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
712,highway_art568.jpg,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2625,tallbuilding_urb907.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
142,coast_n291057.jpg,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
147,coast_n295027.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1214,insidecity_urb359.jpg,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
2322,street_urb885.jpg,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
2530,tallbuilding_art447.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2431,tallbuilding_art101.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,coast_land261.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
604,forest_natu2.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2164,street_gre191.jpg,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
2264,street_par81.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
158,coast_n384026.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
811,highway_bost387.jpg,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
1730,opencountry_land545.jpg,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
78,coast_land258.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
590,forest_natc13.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
1633,opencountry_cdmc354.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
340,coast_sun21.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2152,street_gre124.jpg,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
2013,opencountry_open12.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1108,insidecity_boston245.jpg,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1012,insidecity_art1277.jpg,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
1371,mountain_n213053.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
48,coast_cdmc927.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2097,street_bost46.jpg,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
791,highway_bost315.jpg,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
295,coast_natu795.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
447,forest_for47.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
369,forest_cdmc271.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1159,insidecity_hous24.jpg,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2459,tallbuilding_art1482.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1422,mountain_n392090.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1751,opencountry_land617.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
19,coast_bea5.jpg,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0
310,coast_natu825.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
2357,tallbuilding_a462023.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1180,insidecity_hous96.jpg,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
709,highway_art489.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1536,mountain_nat876.jpg,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
2660,tallbuilding_urban166.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1814,opencountry_land964.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
47,coast_cdmc924.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1767,opencountry_land659.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2385,tallbuilding_a487092.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1614,mountain_sharp74.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1644,opencountry_fie10.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
622,forest_natu440.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1615,mountain_sharp78.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
377,forest_cdmc290.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
582,forest_nat763.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
830,highway_gre239.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1030,insidecity_art1651.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1275,mountain_land161.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
1898,opencountry_nat524.jpg,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
434,forest_for153.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2056,street_art256.jpg,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1123,insidecity_enc3.jpg,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
253,coast_nat897.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1745,opencountry_land600.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2376,tallbuilding_a487066.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
636,forest_natu860.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1943,opencountry_natu32.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1921,opencountry_nat834.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
127,coast_n241020.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
769,highway_bost293.jpg,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
589,forest_natc12.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
1864,opencountry_n490067.jpg,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1775,opencountry_land68.jpg,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1029,insidecity_art165.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2284,street_street48.jpg,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
42,coast_cdmc900.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1365,mountain_n213034.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1380,mountain_n213092.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1661,opencountry_fie37.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2464,tallbuilding_art1546.jpg,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
688,highway_a836030.jpg,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1245,insidecity_urb849.jpg,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
62,coast_cdmc977.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
631,forest_natu794.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
577,forest_nat623.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
1438,mountain_n603032.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1074,insidecity_art785.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
666,forest_text28.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
156,coast_n347047.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1828,opencountry_n18053.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
531,forest_nat203.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1799,opencountry_land825.jpg,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
1900,opencountry_nat589.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
728,highway_bost150.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
304,coast_natu817.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1514,mountain_nat67.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
612,forest_natu325.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
336,coast_sun12.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2111,street_boston18.jpg,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
587,forest_nat946.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
561,forest_nat359.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1975,opencountry_natu586.jpg,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
219,coast_nat479.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
740,highway_bost162.jpg,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
734,highway_bost156.jpg,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
58,coast_cdmc955.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
350,coast_sun4.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1699,opencountry_land358.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1390,mountain_n219015.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
2489,tallbuilding_art1727.jpg,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0
2546,tallbuilding_art736.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2418,tallbuilding_archi337.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
661,forest_text124.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
37,coast_cdmc871.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1162,insidecity_hous36.jpg,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
49,coast_cdmc929.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
825,highway_gre145.jpg,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
953,insidecity_a129053.jpg,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
974,insidecity_a632023.jpg,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
428,forest_for143.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
752,highway_bost174.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
494,forest_land850.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
406,forest_cdmc458.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1081,insidecity_art831.jpg,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2083,street_art923.jpg,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
143,coast_n291061.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1237,insidecity_urb723.jpg,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1625,mountain_ski65.jpg,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
674,forest_text43.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1414,mountain_n347077.jpg,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
1664,opencountry_fie48.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2224,street_par162.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
859,highway_gre46.jpg,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0
267,coast_natu25.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1071,insidecity_art735.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1126,insidecity_gre197.jpg,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
2326,street_urban950.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
753,highway_bost175.jpg,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
833,highway_gre279.jpg,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1043,insidecity_art625.jpg,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
2370,tallbuilding_a487053.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
22,coast_cdmc123.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
1361,mountain_n213007.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1617,mountain_sharp92.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
645,forest_natu934.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
637,forest_natu863.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1702,opencountry_land381.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
153,coast_n328052.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1704,opencountry_land406.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
1716,opencountry_land500.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1584,mountain_sharp30.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
2121,street_boston274.jpg,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0
948,insidecity_a0004.jpg,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1770,opencountry_land662.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
33,coast_cdmc853.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
1423,mountain_n405000.jpg,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
348,coast_sun34.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1742,opencountry_land577.jpg,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
66,coast_cdmc991.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
861,highway_gre466.jpg,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
1098,insidecity_bost191.jpg,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
2250,street_par54.jpg,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
438,forest_for22.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1286,mountain_land198.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2316,street_urb805.jpg,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2547,tallbuilding_art840.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2521,tallbuilding_art391.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
390,forest_cdmc344.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1235,insidecity_urb701.jpg,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1035,insidecity_art30.jpg,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
536,forest_nat210.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1139,insidecity_gre446.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
701,highway_art237.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1600,mountain_sharp53.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
1400,mountain_n295082.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1501,mountain_nat433.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
421,forest_for121.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1257,mountain_art1132.jpg,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
31,coast_cdmc850.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
601,forest_natu170.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
487,forest_land765.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1397,mountain_n295018.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,coast_art1130.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
150,coast_n295080.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1346,mountain_n18039.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1850,opencountry_n291082.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
607,forest_natu29.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1224,insidecity_urb487.jpg,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1184,insidecity_par129.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1945,opencountry_natu380.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
356,coast_sun57.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
630,forest_natu723.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1459,mountain_nat1017.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
1816,opencountry_moun17.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
1977,opencountry_natu593.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2311,street_urb661.jpg,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2132,street_boston373.jpg,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
2337,tallbuilding_a212055.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1970,opencountry_natu559.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2477,tallbuilding_art1708.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
603,forest_natu18.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
2671,tallbuilding_urban649.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1572,mountain_sharp10.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
8,coast_bea20.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1478,mountain_nat1236.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
700,highway_art1696.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2128,street_boston351.jpg,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
1846,opencountry_n291051.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
415,forest_for106.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
780,highway_bost304.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
711,highway_art563.jpg,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1821,opencountry_n18000.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0
642,forest_natu895.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
209,coast_nat202.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
451,forest_for60.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2058,street_art475.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
1589,mountain_sharp40.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2653,tallbuilding_urban1193.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2476,tallbuilding_art1707.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
303,coast_natu816.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
824,highway_gre144.jpg,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0
352,coast_sun44.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2525,tallbuilding_art426.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
227,coast_nat639.jpg,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
161,coast_n384092.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
2479,tallbuilding_art1712.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
1531,mountain_nat801.jpg,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
514,forest_nat1088.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
710,highway_art558.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2335,tallbuilding_a212033.jpg,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1725,opencountry_land520.jpg,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
132,coast_n243061.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
744,highway_bost166.jpg,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1306,mountain_land33.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
1761,opencountry_land652.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2046,street_art1030.jpg,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
2230,street_par185.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1240,insidecity_urb738.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1357,mountain_n199075.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
441,forest_for28.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
2066,street_art761.jpg,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1288,mountain_land210.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
412,forest_cdmc562.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2685,tallbuilding_urban987.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
1312,mountain_land475.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
1401,mountain_n344019.jpg,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
2112,street_boston19.jpg,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
2318,street_urb834.jpg,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
416,forest_for110.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1906,opencountry_nat629.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
388,forest_cdmc333.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
112,coast_n203015.jpg,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
2412,tallbuilding_a808090.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
1619,mountain_sharp98.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
419,forest_for116.jpg,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
